Series Name,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Government expenditure on education, total (% of government expenditure)",Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.00442123,11.15247822,11.27159309,11.50082493,11.41945934,11.20520401,11.50085735,11.6047554,11.54364491,11.4161129,10.97798347,11.53674412,11.36902332,11.27712917,11.13274479,11.21544456,11.22957039,11.06992149,11.35172081,11.34249592,11.73614788,11.69543076,11.97686672,11.87883949,11.81700134,11.14893627,11.31982613,..
"Government expenditure on education, total (% of government expenditure)",Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.28270912,15.61225986,18.30537033,..,16.02519035,16.32427979,..,..,..,19.4965992,22.05760956,22.61046982,21.56427002,21.23012161,23.13282013,21.56307983,21.59255028,20.48530006,21.51865959,22.14901924,22.22006035,18.99353981,17.95356941,17.83135033
"Government expenditure on education, total (% of government expenditure)",Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.46174049,17.88518906,13.51319981,15.31058025,14.12907982,16.68252945,19.2139492,18.79039001,19.70960999,14.94869041,19.08857918,18.17561913,26.14396095,20.95999908,25.02131081,22.34122086,22.22771072,17.4795208,18.79140091,19.87965012,17.70918083,18.44068336,..,17.59555817,17.18799591
"Government expenditure on education, total (% of government expenditure)",Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.03660011,11.11384964,12.10540009,..,..,..,13.97043037,12.93424034,..,..,..,7.796440125,9.018799782,11.59698009,7.773469925,11.83806229,12.44235897,12.28633976,13.24979591,11.53198624
"Government expenditure on education, total (% of government expenditure)",Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.92039013,13.22609997,..,..,18.60663033,22.83286095,..,..,15.1049099,12.84471035,10.29551983,11.3875103,..,15.68694973,17.45413971,19.90532303,18.22546768,19.45207024,17.20658875,18.08603477,18.54933548,15.70978165,19.65393448
"Government expenditure on education, total (% of government expenditure)",Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.56677055,20.58189964,19.02747917,21.1472702,22.13941956,18.24453926,18.39156914,17.70251083,17.28778076,18.2627697,20.41271019,20.97863007,21.60943031,22.43413925,22.21692085,..,10.79161167
"Government expenditure on education, total (% of government expenditure)",Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.22157001,15.38490963,15.27449989,15.36186981,16.55583954,15.8807497,..,16.36691093,..,16.16987038,..,..,..,..,..,..,..,..,..,..,..,..,25.8235302,..,26.50778961,..,20.47739983,23.55052757,24.19449997,22.91163445,20.91292,22.66012573,21.65815926,22.00429153,21.5209446,21.31998253,22.34200096,21.46508789,..,..
"Government expenditure on education, total (% of government expenditure)",Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.88745975,9.564740181,11.01183987,10.71430016,9.702739716,..,10.49139977,11.30280018,12.46409035,13.24862957,13.93480968,14.75623989,14.28575993,14.85282993,15.18190956,15.13333035,14.99427032,14.47299004,14.24402046,14.80506039,14.37907982,14.06019974,12.27945995,..,..
"Government expenditure on education, total (% of government expenditure)",British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.05877304,15.73427582,14.70944214,13.26398182,12.86490917,12.64089298,10.94099331,12.8691473,11.86371422,10.84606838,14.32960224
"Government expenditure on education, total (% of government expenditure)",Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.07098961,11.2389698,..,..,..,..,9.586009979,11.84342957,10.06579018,8.710269928,8.226819992,9.18062973,9.276000023,..,..,..,..,8.760890007,8.893429756,8.920740128,..,..,..,..,..,..,..,..,..,5.302080154,9.182189941,9.726420403,..,9.984600067,..,11.44194984,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.123259544,10.93802929,11.91827965,10.87722588,9.27444458,11.42074299,8.898165703,10.50713253,9.749938011,9.975003242,9.817684174,8.927361488,9.555897713,10.76726723,10.4770546,11.27114868,10.72626781,9.527602196,10.65262699,10.36380005,9.889651299,9.986122131,9.660421371,9.759604454,9.427565575,9.69010067,9.763916016,10.1444025,9.541225433,10.48226261,9.456896782,10.56167126,..
"Government expenditure on education, total (% of government expenditure)",Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.212820053,..,..,..,..,..,19.94968033,..,7.34017992,..,..,..,..,..,..,..,..,19.49419022,18.20170021,17.86381912,..,..,16.17281914,19.50061035,15.89538002,16.16527939,19.36811066,18.02708054,..,21.44400024,22.66116905,20.88945007,21.11171722,21.5619545,21.95809746
"Government expenditure on education, total (% of government expenditure)",Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.86403084,18.12272072,..,16.75643921,23.79244041,16.71360016,..,..,13.51863956,10.73526001,11.43313026,12.48608017,..,9.179080009,10.95926952,..,..,12.61553955,16.30168915,16.58810043,14.97929955,16.42831993,17.24325943,23.84000015,27.49724007,20.78461075,19.76485062,19.51926041,21.22216606,20.7419529,20.43853951,20.63708305
"Government expenditure on education, total (% of government expenditure)",Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.25592041,16.76194,..,..,19.76622963,..,20.8404808,..,17.54058075,18.32875061,18.24098969,15.88654995,14.21689987,15.15328026,16.12167549,14.77822971,16.28219032,16.74822998,17.84300995,16.41258049,17.56854057,15.15369987,17.09018707,15.1129818,..
"Government expenditure on education, total (% of government expenditure)",Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.392000198,..,11.07901001,11.38078976,10.13757038,..,12.40431023,..,..,11.1035099,..,8.165240288,7.337470055,7.335400105,7.199850082,14.00462532,13.65726948,15.3179636,15.11543465,15.94254494,16.86346817,18.93770027,17.16835022,15.73618317,..
"Government expenditure on education, total (% of government expenditure)",Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.68369961,15.73330975,..,21.44202042,20.84712029,21.37760925,20.31266022,21.37933922,15.70061016,19.77979088,18.75388908,14.8677702,15.17621994,13.82495022,12.87975979,13.24398994,12.69468975,15.91281033,16.88315964,14.17869854,14.45112228,15.04790401,12.7669754
"Government expenditure on education, total (% of government expenditure)",Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.49846649,12.5725317,12.62090015,12.71314907,12.85791397,13.00229359,12.98900795,12.74459839,12.66294193,12.94046307,12.93418503,12.65248013,9.877542496,11.05468845,11.05468845
"Government expenditure on education, total (% of government expenditure)",Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.92417049,14.95815754,..,..,12.52846432
"Government expenditure on education, total (% of government expenditure)",Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.14008045,9.923370361,..,..,..,..,..,..,..,8.949319839,9.93076992,..,9.214730263,12.02801991,12.0644598,9.680470467,10.05424023,9.869480133,7.860000134,7.841720104,6.475379944,7.825459957,10.61656952,8.083443642,9.387187958,8.386741638,7.319021702,8.895050049,9.13549614,9.797812462,9.782443047,9.088691711,10.74205208
"Government expenditure on education, total (% of government expenditure)",Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.89865971,11.07153034,17.05998039,12.84449005,13.78684998,..,..,11.03190041,14.67282009,..,..,..,9.541589737,8.119279861,10.08325958,9.212409973,12.46146011,..,..,..,16.3627491,..,14.21378994,11.67150593,15.6600399,16.72261047
"Government expenditure on education, total (% of government expenditure)",Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.5188303,14.13241959,15.02462006,15.75998974,14.5041399,15.1703701,15.65221977,16.42790985,..,17.45059967,17.63722038,17.0210495,16.19908905,16.23127937,16.74641037,17.40113068,17.0356102,17.85330963,17.74757004,19.66609955,19.67765045,19.92100906,19.59370995,21.15559959,21.31123924,21.36606979,21.23353004,19.35499954,..,..
"Government expenditure on education, total (% of government expenditure)",China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.496390343,9.323880196,8.415129662,14.29631519,13.51353168,13.55206871,13.07809544,14.40716839,13.31540489,12.75261116,12.25982952,12.26956177,12.15529537,11.45069027,11.22663689,10.53292751,10.85031796,..
"Government expenditure on education, total (% of government expenditure)",Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.09229088,16.40752029,..,..,..,17.22545052,..,..,..,..,..,..,..,..,12.47535992,13.15192986,13.29638958,13.57052994,15.30206013,15.53950024,15.41742039,15.53145027,13.77132034,14.4981699,13.8549099,15.45088005,15.92683029,14.77202988,15.02233982,16.26272964,14.80897999,14.29273033,14.92718983,15.46874046,12.83718967,13.71910954,15.67971992,..,..
"Government expenditure on education, total (% of government expenditure)",Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.1350708,..,..,..,15.78971958,..,..,..,..,..,29.23311996,..,..,21.41486931,18.49151039,16.07073021,18.89289093,13.35365009,..,..,..,..,11.47596455,10.28568649,10.47602272
"Government expenditure on education, total (% of government expenditure)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.578499794,..,..,16.17473984,10.55391979,11.73836994,14.63541985,14.00765991,..,..,..,21.61230278,18.40802383
"Government expenditure on education, total (% of government expenditure)","Congo, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.41246986,14.70777988,..,..,14.12652969,..,..,..,9.054849625,9.519949913,8.56180954,7.597819805,..,..,..,..,24.72777939,..,9.32130146,14.72489834,6.555920124,7.950399876,12.85487843,15.68577003,15.58290005,17.93088913,18.28824615,17.87835121,16.63486671
"Government expenditure on education, total (% of government expenditure)",Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.08245659,..
"Government expenditure on education, total (% of government expenditure)",Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.22014999,18.81475067,21.67118073,20.80694962,23.20203018,22.59230042,22.6482296,22.10716057,21.84568977,20.01789093,20.75588036,21.52691078,22.18955994,22.77275085,22.42686081,20.85876083,21.57472992,21.76678085,21.17321968,22.38759995,20.63349915,18.28890038,20.31542969,18.93512917,16.57712936,16.39014053
"Government expenditure on education, total (% of government expenditure)",Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.83323574,10.36295414,10.35055065,11.13702679,11.14038372,11.20171452,11.32808399,12.51061344,12.02320576,11.50245476,11.7812233,11.1515274,10.91428852,10.40342617,10.71168137,10.83368874,10.46747684,10.81541634,10.5198698,10.65031433,10.46403313,10.54242897,10.73969841,10.48012447,10.97616482,10.3530426,10.7206068,..
"Government expenditure on education, total (% of government expenditure)",Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.47883034,16.51965332,15.80173779,15.26356792,14.9375658,13.56491375,12.6599741,14.22594357,16.66110039,..,..
"Government expenditure on education, total (% of government expenditure)",Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.13754845,21.85877228,..,19.50187302,13.70209217,..,..,..,16.41012764,14.64647961,12.41537476
"Government expenditure on education, total (% of government expenditure)",Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.27514648,14.83483028,14.9711895,14.90542889,14.97724342,14.7767458,14.51300621,14.58290577,14.9054718,14.94831848,14.40893459,14.49867535,14.79816532,15.59704685,15.09335613,15.52406216,14.87080097,14.00662994,14.78433514,11.31433487,13.86324215,14.63431835,14.41339111,11.79285622,13.50742531,12.93712711,12.73620987,..
"Government expenditure on education, total (% of government expenditure)",Czechia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.824183464,11.3067627,11.01029778,10.73422432,10.24913692,10.75256824,10.45248508,11.01718712,10.64125443,11.28056908,11.22870922,11.82121181,10.67118263,10.52689266,10.43514729,10.58565712,10.63011456,10.16633415,10.6200428,10.6447258,10.49886131,9.933925629,10.43601036,11.26752949,11.84270382,10.74304962,10.87690353,..
"Government expenditure on education, total (% of government expenditure)",Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.87779331,11.08239269,11.45181084,12.07584381,11.89010429,11.93536854,12.10246181,12.3573885,12.24217033,12.5096941,12.44361305,12.42493439,11.98038292,12.11152554,12.26772594,12.58372211,12.08395576,12.03017139,12.33083916,12.9065752,12.8566246,12.94861698,12.73631477,12.64840698,12.74289989,11.91557789,11.888381,..
"Government expenditure on education, total (% of government expenditure)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.89607048,29.38595009,26.28001976,25.48930931,24.2714901,24.70113945,22.71504974,24.70796013,22.52743912,..,..,12.32839966,..,17.07688332,17.31999016,17.74855423,8.576439857,12.00850964,13.25469971,13.99153042,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.11160088,11.41961956,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.20800972,12.69810009,9.783912659,8.445836067,8.298299789,10.66617012,7.219115734,6.412837029
"Government expenditure on education, total (% of government expenditure)",Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.98847961,12.50728989,12.07971954,9.701809883,..,..,..,12.57787991,..,..,..,..,..,21.70730591,21.54460335,22.31357002,19.55919075,20.15645981,19.48493004,20.00876808,20.63404274,19.59417725,22.44455719
"Government expenditure on education, total (% of government expenditure)",Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.84613991,6.665820122,4.957300186,..,..,..,..,..,..,..,..,13.17257023,12.9965601,11.97611046,11.67533016,11.31392002,12.15767956,12.42949963,12.79825497,13.8734045,14.54615879,11.38626003,11.25986958,10.3218298,10.00310993
"Government expenditure on education, total (% of government expenditure)","Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.73421383,15.51804447,15.03286171,15.4734354,11.67236996,11.60687065,11.01320553,11.17261791,11.33020687,10.9515276,10.92304325,12,12,12,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.69070435,14.5278883,..,14.08380985,..,13.75427341,13.09002113,16.90505791,15.47114754,12.53421021,16.00487137,14.03022003,15.58036518,17.21397018,16.16272926,8.597620964,14.78466511,14.33106995,11.86849117,11.96135902,18.47710037
"Government expenditure on education, total (% of government expenditure)",Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.248139858,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9151299,..,6.250919819,5.565539837,..,5.861609936,5.633379936,..,5.741849899,..,5.168069839,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
